Admit,Deposit,Enroll,F,Ethnicity,Region Description,Age,ACT Category Description,College,Major,Convert_GPA_Fix,FIN_AID_INTEREST
TRUE,FALSE,FALSE,F,Asian/Pacific Islander,Suburban North,19,24-27,Science and Health,UGRD Undeclared CSH,0,N
FALSE,FALSE,FALSE,F,Asian/Pacific Islander,Suburban Northwest,18,16-19,Science and Health,UGRD Undeclared CSH,2.322,Y
TRUE,FALSE,FALSE,F,Hispanic,Chicago North,18,20-23,Computer Science,Digital Cinema,3.48,Y
FALSE,FALSE,FALSE,F,Hispanic,Suburban West,18,24-27,Science and Health,Health Sciences,3.144,Y
TRUE,TRUE,TRUE,F,Hispanic,Suburban Northwest,18,24-27,Theatre,Lighting Design,3.476,Y
TRUE,FALSE,FALSE,F,White,Other Illinois,18,24-27,Science and Health,UGRD Undeclared CSH,4.09,Y
TRUE,TRUE,FALSE,F,White,Other Illinois,18,24-27,Science and Health,Biological Sciences,3.33,Y
TRUE,TRUE,TRUE,F,Hispanic,Suburban West,18,24-27,Computer Science,Computer Science,3.448,Y
TRUE,FALSE,FALSE,F,White,Suburban Northwest,18,24-27,Liberal Arts & Social Sciences,UGRD Undeclared TBD,4.444,Y
FALSE,FALSE,FALSE,F,Hispanic,Suburban Northwest,18,0-15,Education,Pre-Secondary Education Englis,2.968,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago South,18,28-32,Commerce,Business Administration,3.052,Y
TRUE,FALSE,FALSE,F,White,Out of State,18,24-27,Communication,Public Relations/Advertisin,4.295,Y
TRUE,FALSE,FALSE,F,Black,Out of State,18,Unknown,Education,Pre-Secondary Education: Social Sciences,3.831,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago North,18,20-23,Education,Pre-Early Childhood Education,2.739,Y
TRUE,FALSE,FALSE,F,Hispanic,Chicago Central,18,24-27,Commerce,UGRD Undeclared Business,3.976,Y
TRUE,FALSE,FALSE,F,Not Applicable,Suburban Northwest,18,20-23,Science and Health,Physics,3.049,Y
TRUE,FALSE,FALSE,F,Asian/Pacific Islander,Suburban North,17,28-32,Liberal Arts & Social Sciences,Political Science,3.605,Y
TRUE,TRUE,FALSE,F,White,Suburban West,18,24-27,Commerce,Business Administration,3.34,Y
TRUE,FALSE,FALSE,F,Asian/Pacific Islander,Out of State,18,24-27,Commerce,Business Administration,3.247,Y
TRUE,FALSE,FALSE,F,Multiracial,Suburban North,18,28-32,Liberal Arts & Social Sciences,UGRD Undeclared TBD,3.929,Y
FALSE,FALSE,FALSE,F,Not Applicable,Suburban Southwest,18,16-19,Science and Health,UGRD Undeclared CSH,,Y
FALSE,FALSE,FALSE,F,Black,Chicago Far South,18,20-23,Commerce,Business Administration,,N
TRUE,TRUE,TRUE,F,Hispanic,Suburban South,18,20-23,Computer Science,Digital Cinema,3.696,Y
FALSE,FALSE,FALSE,F,Black,Chicago Far North,18,24-27,Commerce,Accountancy,,N
FALSE,FALSE,FALSE,F,Black,Chicago Far South,18,16-19,Computer Science,Computer Science,3.048,Y
TRUE,FALSE,FALSE,F,Hispanic,Chicago Far South,18,24-27,Science and Health,Biological Sciences,2.952,Y
TRUE,FALSE,FALSE,F,Hispanic,Chicago North,18,24-27,Liberal Arts & Social Sciences,UGRD Undeclared TBD,3.258,Y
TRUE,FALSE,FALSE,F,Hispanic,Chicago South,18,20-23,Liberal Arts & Social Sciences,UGRD Undeclared TBD,3.056,Y
TRUE,FALSE,FALSE,F,Hispanic,Chicago South,18,20-23,Computer Science,BFA in Graphic Design,4.309,Y
TRUE,TRUE,FALSE,F,Black,Out of State,18,20-23,Computer Science,Computer Game Development,2.89,Y
TRUE,FALSE,FALSE,F,Asian/Pacific Islander,Chicago South,19,20-23,Commerce,UGRD Undeclared Business,4.4,Y
TRUE,FALSE,FALSE,F,White,Suburban Northwest,18,28-32,Liberal Arts & Social Sciences,Political Science,3.832,Y
TRUE,FALSE,FALSE,F,White,Suburban Southwest,18,28-32,Science and Health,Biological Sciences,3.902,Y
TRUE,FALSE,FALSE,F,Black,Chicago Central,18,16-19,Science and Health,Psychology,3.88,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago North,18,16-19,Education,Pre-World Lang Educ Spanish,2.838,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago North,18,20-23,Computer Science,UGRD Undeclared CDM,2.881,Y
TRUE,FALSE,FALSE,F,Black,Chicago Far South,18,20-23,Science and Health,UGRD Undeclared CSH,3,Y
TRUE,TRUE,TRUE,F,Hispanic,Chicago North,19,16-19,Science and Health,Health Sciences,3.749,Y
TRUE,TRUE,TRUE,F,Black,Chicago Central,18,20-23,Science and Health,Biological Sciences,4.4,Y
FALSE,FALSE,FALSE,F,White,Suburban Northwest,18,20-23,Liberal Arts & Social Sciences,UGRD Undeclared TBD,2.562,Y
FALSE,FALSE,FALSE,F,Black,Chicago Central,17,16-19,Science and Health,Biological Sciences,2.503,Y
TRUE,TRUE,TRUE,F,Multiracial,Out of State,18,Unknown,Communication,Journalism,3.596,Y
TRUE,TRUE,TRUE,F,Black,Suburban South,18,20-23,Liberal Arts & Social Sciences,UGRD Undeclared TBD,3.738,Y
TRUE,FALSE,FALSE,F,Hispanic,Chicago North,18,20-23,Science and Health,Health Sciences,3.418,Y
TRUE,FALSE,FALSE,F,White,Suburban West,18,20-23,Liberal Arts & Social Sciences,UGRD Undeclared TBD,3.465,Y
FALSE,FALSE,FALSE,F,Black,Chicago Far South,18,16-19,Liberal Arts & Social Sciences,English,2.201,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago South,18,16-19,Commerce,Business Administration,3.3,Y
TRUE,FALSE,FALSE,F,Hispanic,Suburban North,18,24-27,Science and Health,Biological Sciences,2.73,Y
TRUE,FALSE,FALSE,F,White,Suburban West,18,28-32,Science and Health,Chemistry,4.08,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago Central,19,16-19,Liberal Arts & Social Sciences,UGRD Undeclared TBD,2.423,Y
TRUE,TRUE,TRUE,F,Native Hawaiian/Oth Pac Island,Suburban Northwest,18,24-27,Education,Pre-World Lang Educ Spanish,3.564,N
FALSE,FALSE,FALSE,F,Black,Chicago Far South,19,16-19,Liberal Arts & Social Sciences,UGRD Undeclared TBD,3.186,Y
TRUE,FALSE,FALSE,F,White,Suburban Northwest,18,24-27,Commerce,Business Administration,3.665,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago South,18,16-19,Liberal Arts & Social Sciences,UGRD Undeclared TBD,3.379,Y
FALSE,FALSE,FALSE,F,Black,Chicago Far North,18,16-19,Science and Health,Health Sciences,3.622,Y
TRUE,FALSE,FALSE,F,Hispanic,Chicago Far South,18,20-23,Education,Pre-Secondary Education Histor,5.139,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago Far South,18,20-23,Liberal Arts & Social Sciences,UGRD Undeclared TBD,2.537,Y
TRUE,FALSE,FALSE,F,White,Suburban North,19,24-27,Liberal Arts & Social Sciences,History,3.05,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago Far South,18,20-23,Liberal Arts & Social Sciences,UGRD Undeclared TBD,3.023,Y
FALSE,FALSE,FALSE,F,Asian/Pacific Islander,Suburban North,18,20-23,Liberal Arts & Social Sciences,UGRD Undeclared TBD,1.953,Y
FALSE,FALSE,FALSE,F,White,Suburban Northwest,18,24-27,Music,Music Performance,3.161,Y
FALSE,FALSE,FALSE,F,White,Suburban North,18,16-19,Liberal Arts & Social Sciences,Economics,3.27,Y
FALSE,FALSE,FALSE,F,White,Other Illinois,18,20-23,Commerce,Marketing,3.341,Y
FALSE,FALSE,FALSE,F,White,Suburban Northwest,18,20-23,Liberal Arts & Social Sciences,UGRD Undeclared TBD,2.809,Y
TRUE,FALSE,FALSE,F,White,Suburban Northwest,18,28-32,Computer Science,Computer Science,3.597,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago Central,18,16-19,Music,Music Performance,2.635,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago South,18,0-15,Computer Science,Computer Science,,Y
TRUE,FALSE,FALSE,F,Hispanic,Chicago Far South,18,16-19,Liberal Arts & Social Sciences,UGRD Undeclared TBD,4.217,Y
FALSE,FALSE,FALSE,F,Asian/Pacific Islander,Suburban North,18,20-23,Computer Science,Computer Science,2.72,N
FALSE,FALSE,FALSE,F,Hispanic,Suburban Northwest,18,16-19,Science and Health,Psychology,3.191,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago South,18,16-19,Education,Pre-Secondary Education Math,2.795,Y
TRUE,FALSE,FALSE,F,White,Suburban South,18,28-32,Commerce,Marketing,4.526,Y
TRUE,FALSE,FALSE,F,Hispanic,Chicago North,19,24-27,Commerce,Accountancy,4.444,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago Central,18,16-19,Commerce,Hospitality Leadership,3.122,Y
FALSE,FALSE,FALSE,F,Multiracial,Chicago Far South,18,16-19,Commerce,Accountancy,,N
TRUE,FALSE,FALSE,F,White,Other Illinois,18,24-27,Science and Health,UGRD Undeclared CSH,3.64,Y
FALSE,FALSE,FALSE,F,International,Suburban Northwest,18,16-19,Education,UGRD Undeclared Education,3.208,N
TRUE,TRUE,TRUE,F,White,Suburban Northwest,18,24-27,Liberal Arts & Social Sciences,History,3.163,N
TRUE,TRUE,TRUE,F,White,Suburban Northwest,18,24-27,Education,Pre-Secondary Ed Visual Art,3.194,Y
TRUE,TRUE,TRUE,F,White,Other Illinois,18,24-27,Computer Science,Digital Cinema,3.767,Y
TRUE,FALSE,FALSE,F,Black,Chicago Far South,18,20-23,Science and Health,Psychology,3.738,Y
FALSE,FALSE,FALSE,F,White,Suburban Northwest,18,20-23,Music,Music Performance,2.727,Y
TRUE,TRUE,FALSE,F,Multiracial,Suburban Southwest,18,28-32,Liberal Arts & Social Sciences,Anthropology,4.222,Y
TRUE,FALSE,FALSE,F,Hispanic,Chicago South,18,20-23,Liberal Arts & Social Sciences,UGRD Undeclared TBD,4.302,Y
TRUE,FALSE,FALSE,F,Asian/Pacific Islander,Suburban Northwest,18,24-27,Commerce,Marketing,3.411,N
FALSE,FALSE,FALSE,F,Black,Suburban South,18,16-19,Commerce,Business Administration,2.897,Y
FALSE,FALSE,FALSE,F,Black,Suburban West,18,16-19,Liberal Arts & Social Sciences,Political Science,2.627,Y
TRUE,TRUE,TRUE,F,Black,Chicago Central,18,16-19,Science and Health,Chemistry,3.619,Y
FALSE,FALSE,FALSE,F,Black,Chicago Far South,18,16-19,Commerce,Accountancy,3.306,Y
TRUE,FALSE,FALSE,F,Hispanic,Chicago South,18,24-27,Science and Health,Biological Sciences,3.881,Y
TRUE,TRUE,TRUE,F,Asian/Pacific Islander,Chicago South,18,24-27,Education,Pre-Secondary Education Englis,3.625,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago North,18,16-19,Science and Health,UGRD Undeclared CSH,,Y
TRUE,FALSE,FALSE,F,Hispanic,Chicago North,18,20-23,Communication,UGRD Undeclared Communication,3.998,Y
TRUE,FALSE,FALSE,F,Hispanic,Other Illinois,18,20-23,Liberal Arts & Social Sciences,Sociology,3.31,Y
TRUE,TRUE,TRUE,F,Hispanic,Suburban Southwest,18,20-23,Computer Science,Computer Science,3.268,Y
TRUE,FALSE,FALSE,F,International,Chicago Far South,18,20-23,Computer Science,BFA in Graphic Design,4.047,Y
TRUE,FALSE,FALSE,F,Hispanic,Chicago South,18,20-23,Science and Health,Biological Sciences,3.489,Y
FALSE,FALSE,FALSE,F,International,Chicago South,18,24-27,Science and Health,Biological Sciences,,N
TRUE,TRUE,TRUE,F,White,Suburban South,18,20-23,Liberal Arts & Social Sciences,UGRD Undeclared TBD,3.042,Y
TRUE,FALSE,FALSE,F,White,Suburban South,19,20-23,Science and Health,UGRD Undeclared CSH,4.014,Y
TRUE,FALSE,FALSE,F,White,Suburban Southwest,19,20-23,Commerce,UGRD Undeclared Business,3.07,Y
TRUE,FALSE,FALSE,F,White,Suburban South,18,28-32,Liberal Arts & Social Sciences,UGRD Undeclared TBD,3.46,N
TRUE,FALSE,FALSE,F,Black,Suburban West,18,24-27,Communication,UGRD Undeclared Communication,2.897,Y
FALSE,FALSE,FALSE,F,Black,Suburban West,18,0-15,Liberal Arts & Social Sciences,UGRD Undeclared TBD,,Y
TRUE,FALSE,FALSE,F,Asian/Pacific Islander,Suburban Southwest,18,20-23,Commerce,Accountancy,3.642,Y
FALSE,FALSE,FALSE,F,Black,Suburban South,18,20-23,Computer Science,Computer Science,2.242,N
TRUE,FALSE,FALSE,F,White,Suburban Northwest,18,28-32,Science and Health,Psychology,3.896,Y
FALSE,FALSE,FALSE,F,White,Suburban South,19,16-19,Computer Science,UGRD Undeclared CDM,2.947,Y
FALSE,FALSE,FALSE,F,Hispanic,Suburban South,18,16-19,Music,Music Performance,,Y
FALSE,FALSE,FALSE,F,Black,Suburban South,18,Unknown,Science and Health,Health Sciences,2,Y
TRUE,TRUE,TRUE,F,White,Out of State,18,Unknown,Science and Health,Health Sciences,3.531,N
TRUE,TRUE,TRUE,F,White,Suburban South,18,24-27,Computer Science,Computer Game Development,4.032,Y
TRUE,TRUE,TRUE,F,White,Out of State,19,24-27,Music,Music Performance,4.017,Y
FALSE,FALSE,FALSE,F,White,Out of State,18,16-19,Liberal Arts & Social Sciences,Economics,2.791,Y
FALSE,FALSE,FALSE,F,White,Suburban Northwest,18,16-19,Education,Pre-Physical Education,1.514,Y
FALSE,FALSE,FALSE,F,Black,Suburban Southwest,18,0-15,Liberal Arts & Social Sciences,UGRD Undeclared TBD,3.054,Y
TRUE,FALSE,FALSE,F,Asian/Pacific Islander,Suburban Northwest,18,20-23,Commerce,UGRD Undeclared Business,2.782,Y
TRUE,TRUE,TRUE,F,White,Suburban North,18,24-27,Liberal Arts & Social Sciences,Art & Art History,3.47,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago North,18,16-19,Education,Elementary Education,4.046,Y
TRUE,TRUE,TRUE,F,Black,Chicago Central,18,24-27,Liberal Arts & Social Sciences,UGRD Undeclared TBD,3.32,Y
FALSE,FALSE,FALSE,F,White,Suburban North,18,16-19,Liberal Arts & Social Sciences,UGRD Undeclared TBD,0,Y
TRUE,FALSE,FALSE,F,Multiracial,Suburban North,18,16-19,Science and Health,Health Sciences,3.396,Y
TRUE,TRUE,TRUE,F,Hispanic,Chicago South,18,20-23,Education,Pre-Secondary Education Histor,3.5,Y
FALSE,FALSE,FALSE,F,International,Chicago South,18,20-23,Computer Science,Computer Science,2.54,N
FALSE,FALSE,FALSE,F,Hispanic,Chicago South,18,16-19,Liberal Arts & Social Sciences,UGRD Undeclared TBD,3.111,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago South,18,16-19,Computer Science,Computer Science,3.306,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago South,18,16-19,Education,UGRD Undeclared Education,3.642,Y
TRUE,FALSE,FALSE,F,Hispanic,Suburban West,18,20-23,Science and Health,Psychology,3.818,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago Far South,18,16-19,Liberal Arts & Social Sciences,UGRD Undeclared TBD,0,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago North,19,16-19,Commerce,Accountancy,1.952,Y
TRUE,TRUE,TRUE,F,Hispanic,Chicago North,18,24-27,Science and Health,Psychology,4.358,Y
TRUE,FALSE,FALSE,F,White,Chicago South,18,28-32,Science and Health,Biological Sciences,4.188,Y
FALSE,FALSE,FALSE,F,Black,Suburban West,18,20-23,Education,Elementary Education,2.306,Y
TRUE,FALSE,FALSE,F,White,Suburban West,18,24-27,Science and Health,Psychology,3.845,Y
TRUE,TRUE,TRUE,F,Hispanic,Suburban Northwest,18,20-23,Communication,UGRD Undeclared Communication,0,Y
TRUE,TRUE,TRUE,F,Hispanic,Chicago South,18,20-23,Liberal Arts & Social Sciences,English,4.428,Y
TRUE,FALSE,FALSE,F,Hispanic,Suburban Southwest,18,24-27,Liberal Arts & Social Sciences,Political Science,3.751,Y
TRUE,TRUE,TRUE,F,Hispanic,Chicago Far North,18,20-23,Education,Pre-Secondary Education Englis,2.75,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago Central,18,20-23,Liberal Arts & Social Sciences,History,2.728,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago South,18,20-23,Commerce,Business Administration,,Y
FALSE,FALSE,FALSE,F,Not Applicable,Suburban West,19,16-19,Computer Science,Network Technologies,,N
TRUE,TRUE,TRUE,F,White,Suburban Southwest,18,24-27,Liberal Arts & Social Sciences,International Studies,3.77,Y
TRUE,FALSE,FALSE,F,Asian/Pacific Islander,Suburban North,18,20-23,Science and Health,UGRD Undeclared CSH,3.419,N
TRUE,FALSE,FALSE,F,White,Suburban Northwest,18,24-27,Commerce,UGRD Undeclared Business,3.521,Y
TRUE,FALSE,FALSE,F,White,Suburban West,18,24-27,Science and Health,Biological Sciences,3.391,Y
TRUE,FALSE,FALSE,F,White,Chicago South,19,20-23,Liberal Arts & Social Sciences,UGRD Undeclared TBD,2.954,Y
TRUE,FALSE,FALSE,F,Asian/Pacific Islander,Chicago South,20,20-23,Commerce,UGRD Undeclared Business,4.318,Y
TRUE,FALSE,FALSE,F,Asian/Pacific Islander,Chicago Far North,18,24-27,Liberal Arts & Social Sciences,History of Art&Architecture,4.545,Y
FALSE,FALSE,FALSE,F,Black,Suburban South,18,0-15,Liberal Arts & Social Sciences,English,2.532,Y
TRUE,FALSE,FALSE,F,White,Chicago North,18,28-32,Science and Health,Biological Sciences,4.818,Y
TRUE,FALSE,FALSE,F,White,Suburban West,18,20-23,Commerce,Marketing,2.978,Y
TRUE,TRUE,TRUE,F,White,Other Illinois,18,28-32,Liberal Arts & Social Sciences,UGRD Undeclared TBD,4.164,Y
TRUE,FALSE,FALSE,F,Hispanic,Chicago Far South,18,24-27,Computer Science,Computer Game Development,2.857,Y
TRUE,TRUE,TRUE,F,Asian/Pacific Islander,Suburban West,18,24-27,Commerce,Accountancy,4.463,Y
TRUE,FALSE,FALSE,F,Hispanic,Suburban Southwest,18,20-23,Commerce,UGRD Undeclared Business,4.19,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago South,18,20-23,Liberal Arts & Social Sciences,Art & Art History,,Y
TRUE,FALSE,FALSE,F,White,Suburban West,18,24-27,Liberal Arts & Social Sciences,Spanish,4.119,Y
TRUE,FALSE,FALSE,F,Asian/Pacific Islander,Suburban North,18,28-32,Science and Health,Allied Health Technologies,0,Y
TRUE,FALSE,FALSE,F,Hispanic,Suburban Northwest,18,16-19,Commerce,Accountancy,3.75,Y
TRUE,FALSE,FALSE,F,International,Chicago North,17,24-27,Commerce,Accountancy,3.446,N
FALSE,FALSE,FALSE,F,Hispanic,Suburban Southwest,18,16-19,Commerce,Business Administration,2.23,Y
TRUE,FALSE,FALSE,F,Hispanic,Chicago North,18,20-23,Liberal Arts & Social Sciences,UGRD Undeclared TBD,3.452,Y
TRUE,FALSE,FALSE,F,Hispanic,Chicago Far South,18,20-23,Science and Health,Biological Sciences,3.86,Y
FALSE,FALSE,FALSE,F,Hispanic,Suburban Northwest,18,16-19,Computer Science,Computer Science,3.25,Y
TRUE,FALSE,FALSE,F,Black,Suburban South,18,24-27,Science and Health,Environmental Science,3.262,Y
TRUE,FALSE,FALSE,F,Multiracial,Suburban West,18,20-23,Science and Health,UGRD Undeclared CSH,3.184,Y
FALSE,FALSE,FALSE,F,Black,Chicago Far South,18,20-23,Liberal Arts & Social Sciences,Philosophy,,Y
TRUE,FALSE,FALSE,F,Hispanic,Chicago South,18,20-23,Liberal Arts & Social Sciences,Anthropology,4.285,Y
TRUE,FALSE,FALSE,F,Hispanic,Other Illinois,18,24-27,Commerce,Business Administration,3.818,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago South,18,20-23,Education,Pre-Early Childhood Education,3.309,Y
TRUE,FALSE,FALSE,F,Hispanic,Chicago Central,19,24-27,Science and Health,UGRD Undeclared CSH,4.205,Y
TRUE,FALSE,FALSE,F,Hispanic,Suburban West,19,20-23,Communication,Journalism,3.652,Y
TRUE,FALSE,FALSE,F,Hispanic,Suburban North,18,20-23,Education,Pre-Secondary Education Englis,3.717,N
TRUE,FALSE,FALSE,F,International,Chicago South,18,24-27,Science and Health,UGRD Undeclared CSH,3.329,Y
TRUE,FALSE,FALSE,F,White,Suburban North,18,24-27,Science and Health,Health Sciences,3.19,Y
TRUE,FALSE,FALSE,F,White,Suburban West,18,24-27,Commerce,Business Administration,3.913,Y
TRUE,FALSE,FALSE,F,Hispanic,Chicago Far South,18,24-27,Science and Health,Biological Sciences,4.395,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago South,18,24-27,Computer Science,Computer Science,,Y
TRUE,TRUE,TRUE,F,White,Suburban Northwest,18,20-23,Science and Health,Chemistry,3.77,Y
TRUE,FALSE,FALSE,F,White,Chicago North,18,28-32,Commerce,Accountancy,3.738,N
FALSE,FALSE,FALSE,F,Black,Chicago Far North,18,0-15,Education,Pre-Secondary Education Biolog,3.285,Y
TRUE,TRUE,TRUE,F,White,Suburban Northwest,19,24-27,Computer Science,Info Assurnce Securty Engineer,3.964,Y
TRUE,FALSE,FALSE,F,Hispanic,Chicago North,18,20-23,Communication,UGRD Undeclared Communication,3.913,Y
TRUE,TRUE,TRUE,F,White,Suburban Northwest,18,28-32,Liberal Arts & Social Sciences,International Studies,3.952,Y
TRUE,TRUE,TRUE,F,White,Suburban North,18,28-32,Liberal Arts & Social Sciences,English,4.409,Y
TRUE,FALSE,FALSE,F,Asian/Pacific Islander,Suburban North,18,24-27,Computer Science,Network Technologies,2.71,Y
FALSE,FALSE,FALSE,F,Black,Chicago Far South,18,20-23,Communication,Communication and Media,,Y
TRUE,TRUE,TRUE,F,White,Suburban West,18,20-23,Education,Pre-Early Childhood Education,3.036,Y
TRUE,FALSE,FALSE,F,White,Other Illinois,18,20-23,Science and Health,Biological Sciences,3.176,Y
TRUE,TRUE,TRUE,F,Hispanic,Chicago South,18,20-23,Commerce,Business Administration,4.003,Y
TRUE,FALSE,FALSE,F,Hispanic,Chicago North,18,20-23,Liberal Arts & Social Sciences,UGRD Undeclared TBD,4.197,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago South,19,16-19,Science and Health,Psychology,,Y
TRUE,FALSE,FALSE,F,Hispanic,Suburban South,19,20-23,Liberal Arts & Social Sciences,UGRD Undeclared TBD,4.187,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago North,18,20-23,Education,UGRD Undeclared Education,2.902,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago South,18,0-15,Liberal Arts & Social Sciences,UGRD Undeclared TBD,1.933,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago Central,18,16-19,Education,UGRD Undeclared Education,3.268,Y
TRUE,FALSE,FALSE,F,Not Applicable,Suburban West,18,20-23,Liberal Arts & Social Sciences,Peace Justice Conflict St,2.674,Y
TRUE,FALSE,FALSE,F,White,Suburban North,18,24-27,Liberal Arts & Social Sciences,UGRD Undeclared TBD,3.286,Y
TRUE,FALSE,FALSE,F,Hispanic,Suburban South,18,20-23,Liberal Arts & Social Sciences,Political Science,3.979,Y
TRUE,FALSE,FALSE,F,White,Other Illinois,19,28-32,Liberal Arts & Social Sciences,History,4.595,Y
TRUE,FALSE,FALSE,F,White,Suburban Northwest,18,24-27,Education,Pre-Secondary Education Math,3.956,Y
FALSE,FALSE,FALSE,F,Black,Chicago Far South,18,20-23,Computer Science,Computer Science,2.976,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago Central,19,16-19,Science and Health,UGRD Undeclared CSH,3.181,Y
TRUE,TRUE,TRUE,F,Asian/Pacific Islander,Suburban North,18,20-23,Science and Health,Health Sciences,4.531,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago South,18,0-15,Communication,Communication Studies,2.413,Y
FALSE,FALSE,FALSE,F,White,Suburban Southwest,18,16-19,Commerce,Marketing,2.326,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago South,18,20-23,Education,Pre-Secondary Education Math,3.365,Y
TRUE,FALSE,FALSE,F,Hispanic,Chicago Far South,18,24-27,Liberal Arts & Social Sciences,Philosophy,2.863,Y
TRUE,FALSE,FALSE,F,White,Suburban West,18,24-27,Commerce,Management,3.039,Y
TRUE,TRUE,FALSE,F,White,Suburban Northwest,18,24-27,Liberal Arts & Social Sciences,UGRD Undeclared TBD,3.88,N
FALSE,FALSE,FALSE,F,Black,Chicago Central,18,16-19,Education,Elementary Education,3.139,Y
FALSE,FALSE,FALSE,F,Black,Chicago Far South,18,16-19,Theatre,Acting,2.166,Y
FALSE,FALSE,FALSE,F,Black,Chicago Far South,19,16-19,Science and Health,Health Sciences,2.351,Y
TRUE,TRUE,TRUE,F,White,Suburban Northwest,19,24-27,Communication,Communication Studies,2.83,Y
FALSE,FALSE,FALSE,F,Black,Chicago Far South,18,20-23,Liberal Arts & Social Sciences,English,,Y
TRUE,FALSE,FALSE,F,Black,Chicago Far South,18,20-23,Liberal Arts & Social Sciences,UGRD Undeclared TBD,3.503,Y
TRUE,FALSE,FALSE,F,White,Suburban West,18,20-23,Commerce,Accountancy,3.405,Y
TRUE,FALSE,FALSE,F,White,Suburban West,18,20-23,Commerce,Accountancy,3.054,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago South,19,16-19,Theatre,Acting,3.714,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago North,21,0-15,Computer Science,Computer Science,,Y
FALSE,FALSE,FALSE,F,Black,Chicago North,18,16-19,Science and Health,Biological Sciences,3.88,Y
FALSE,FALSE,FALSE,F,Black,Out of State,17,Unknown,Education,Elementary Education,,Y
FALSE,FALSE,FALSE,F,White,Out of State,19,16-19,Theatre,Acting,3.267,Y
FALSE,FALSE,FALSE,F,White,Out of State,18,Unknown,Music,Performing Arts Mgmt,3.958,Y
TRUE,FALSE,FALSE,F,White,Suburban South,17,Unknown,Science and Health,Psychology,3.167,N
TRUE,TRUE,FALSE,F,Black,Suburban West,18,16-19,Liberal Arts & Social Sciences,UGRD Undeclared TBD,2.895,Y
TRUE,FALSE,FALSE,F,White,Other Illinois,18,24-27,Liberal Arts & Social Sciences,UGRD Undeclared TBD,3.55,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago North,19,20-23,Science and Health,UGRD Undeclared CSH,3.143,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago South,18,16-19,Science and Health,Psychology,2.694,Y
TRUE,TRUE,TRUE,F,White,Suburban West,18,24-27,Commerce,Economics,3.515,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago North,18,0-15,Computer Science,BFA in Graphic Design,,N
FALSE,FALSE,FALSE,F,Hispanic,Chicago South,18,16-19,Science and Health,Biological Sciences,3.686,Y
TRUE,FALSE,FALSE,F,Hispanic,Suburban Northwest,18,20-23,Liberal Arts & Social Sciences,UGRD Undeclared TBD,3.636,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago North,18,20-23,Science and Health,UGRD Undeclared CSH,3.12,Y
TRUE,FALSE,FALSE,F,White,Other Illinois,18,28-32,Liberal Arts & Social Sciences,History,4.008,Y
TRUE,TRUE,TRUE,F,White,Suburban Southwest,18,20-23,Education,Elementary Education,3.113,Y
FALSE,FALSE,FALSE,F,White,Suburban Northwest,18,28-32,Theatre,Acting,,Y
TRUE,FALSE,FALSE,F,Hispanic,Suburban North,17,28-32,Liberal Arts & Social Sciences,International Studies,4.29,Y
FALSE,FALSE,FALSE,F,White,Other Illinois,18,28-32,Music,Performing Arts Mgmt,4.611,Y
FALSE,FALSE,FALSE,F,White,Suburban Southwest,18,28-32,Music,Music Performance,4.547,Y
FALSE,FALSE,FALSE,F,White,Chicago North,18,20-23,Science and Health,UGRD Undeclared CSH,2.959,Y
